id,lat,long,site,half,date,season,stream,dist,cfs,ls,tp,pp,tdp,drp,dop,tp,pp,tdp,drp,dop
90,40.34765666,-111.4028916,LHC02,Upper,2016-02-20,Winter,L,6.58,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access
91,40.38636757,-111.4226418,SC01,Lower,2016-02-20,Winter,S,0.12,2.77,78.4,0.025,0.000,0.025,0.025,0.000,1.96,0.00,1.96,1.96,0.00
92,40.38997727,-111.4316945,SC03,Lower,2016-02-20,Winter,S,1.11,1.48,41.9,0.039,0.000,0.038,0.009,0.029,1.62,0.01,1.61,0.38,1.23
93,40.39821756,-111.4380473,SC04,Lower,2016-02-20,Winter,S,2.37,1.45,41.1,0.058,0.023,0.035,0.015,0.020,2.40,0.95,1.45,0.62,0.83
94,40.40197848,-111.4505074,SC06,Lower,2016-02-20,Winter,S,4.13,6.34,179.5,0.043,0.008,0.035,0.017,0.019,7.77,1.44,6.34,2.96,3.38
95,40.40300907,-111.4591105,SC07,Lower,2016-02-20,Winter,S,5.17,9.31,263.6,0.174,0.056,0.118,0.059,0.060,45.92,14.76,31.16,15.42,15.74
96,40.33435765,-111.3794539,MC01,Upper,2016-05-03,Spring,M,9.11,9.01,255.1,0.021,0.007,0.014,0.000,0.014,5.33,1.76,3.57,0.00,3.57
97,40.35729228,-111.394846,MC02,Upper,2016-05-03,Spring,M,12.10,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
98,40.36984777,-111.4035923,MC03,Upper,2016-05-03,Spring,M,13.80,0.61,17.3,0.020,0.000,0.020,0.000,0.020,0.35,0.00,0.35,0.00,0.35
99,40.37932339,-111.4215613,MC04,Upper,2016-05-03,Spring,M,15.90,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
100,40.38604147,-111.4347176,MC05,Upper,2016-05-03,Spring,M,17.50,1.65,46.7,0.025,0.008,0.017,0.000,0.017,1.17,0.37,0.80,0.00,0.80
101,40.39472968,-111.4455208,MC06,Lower,2016-05-03,Spring,M,19.60,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access,no_access
102,40.4018619,-111.459279,MC07,Lower,2016-05-03,Spring,M,21.80,4.85,137.3,0.057,0.002,0.055,0.024,0.031,7.84,0.23,7.61,3.30,4.31
103,40.40413866,-111.4654134,MC08,Lower,2016-05-03,Spring,M,22.40,6.01,170.2,0.063,0.028,0.036,0.023,0.013,10.76,4.71,6.04,3.83,2.21
104,40.40631407,-111.4723729,MC09,Lower,2016-05-03,Spring,M,23.20,7.64,216.3,0.066,0.037,0.029,0.009,0.020,14.28,8.09,6.19,1.95,4.24
105,40.40965002,-111.4784938,MC10,Lower,2016-05-03,Spring,M,24.00,10.09,285.7,0.055,0.027,0.028,0.011,0.017,15.71,7.83,7.89,3.00,4.89
106,40.34323751,-111.4098996,LHC01,Upper,2016-05-03,Spring,L,5.53,3.36,95.1,0.037,0.015,0.022,0.000,0.022,3.49,1.40,2.09,0.00,2.09
107,40.36189332,-111.4079966,LHC03,Upper,2016-05-03,Spring,L,8.00,3.28,92.9,0.030,0.013,0.017,0.000,0.017,2.79,1.20,1.59,0.00,1.59
108,40.37567584,-111.4246417,LHC04,Upper,2016-05-03,Spring,L,10.40,2.12,60.0,0.030,0.005,0.025,0.000,0.025,1.80,0.32,1.48,0.00,1.48
109,40.34765666,-111.4028916,LHC02,Upper,2016-05-03,Spring,L,6.58,0.93,26.3,0.022,0.006,0.016,0.000,0.016,0.57,0.15,0.42,0.00,0.42
110,40.38636757,-111.4226418,SC01,Lower,2016-05-03,Spring,S,0.12,2.33,66.0,0.030,0.002,0.028,0.021,0.007,1.98,0.15,1.83,1.39,0.45
111,40.38997727,-111.4316945,SC03,Lower,2016-05-03,Spring,S,1.11,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
112,40.39821756,-111.4380473,SC04,Lower,2016-05-03,Spring,S,2.37,0.55,15.6,0.042,0.024,0.018,0.009,0.009,0.65,0.38,0.27,0.14,0.13
113,40.40197848,-111.4505074,SC06,Lower,2016-05-03,Spring,S,4.13,2.50,70.8,0.047,0.037,0.010,0.009,0.001,3.34,2.63,0.71,0.64,0.07
114,40.40300907,-111.4591105,SC07,Lower,2016-05-03,Spring,S,5.17,2.52,71.4,0.084,0.068,0.016,0.012,0.004,6.01,4.87,1.13,0.86,0.28
115,40.33435765,-111.3794539,MC01,Upper,2016-07-28,Summer,M,9.11,0.97,27.5,0.012,0.012,0.000,0.000,0.000,0.33,0.33,0.00,0.00,0.00
116,40.35729228,-111.394846,MC02,Upper,2016-07-28,Summer,M,12.10,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
117,40.36984777,-111.4035923,MC03,Upper,2016-07-28,Summer,M,13.80,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
118,40.37932339,-111.4215613,MC04,Upper,2016-07-28,Summer,M,15.90,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
119,40.38604147,-111.4347176,MC05,Upper,2016-07-28,Summer,M,17.50,0.01,0.3,0.074,0.031,0.043,0.040,0.003,0.02,0.01,0.01,0.01,0.00
120,40.39472968,-111.4455208,MC06,Lower,2016-07-28,Summer,M,19.60,0.54,15.3,0.080,0.030,0.050,0.050,0.000,1.22,0.46,0.76,0.76,0.00
121,40.4018619,-111.459279,MC07,Lower,2016-07-28,Summer,M,21.80,0.48,13.6,0.041,0.014,0.027,0.026,0.002,0.56,0.19,0.37,0.35,0.02
122,40.40413866,-111.4654134,MC08,Lower,2016-07-28,Summer,M,22.40,0.39,11.0,0.061,0.029,0.032,0.030,0.002,0.67,0.32,0.35,0.33,0.02
123,40.40631407,-111.4723729,MC09,Lower,2016-07-28,Summer,M,23.20,0.40,11.3,0.077,0.029,0.048,0.045,0.003,0.87,0.33,0.54,0.51,0.03
124,40.40965002,-111.4784938,MC10,Lower,2016-07-28,Summer,M,24.00,2.38,67.4,0.040,0.018,0.022,0.020,0.002,2.70,1.21,1.48,1.35,0.13
125,40.34323751,-111.4098996,LHC01,Upper,2016-07-28,Summer,L,5.53,0.64,18.1,0.016,0.000,0.016,0.016,0.000,0.29,0.00,0.29,0.29,0.00
126,40.36189332,-111.4079966,LHC03,Upper,2016-07-28,Summer,L,8.00,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
127,40.37567584,-111.4246417,LHC04,Upper,2016-07-28,Summer,L,10.40,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
128,40.34765666,-111.4028916,LHC02,Upper,2016-07-28,Summer,L,6.58,0.11,3.1,0.038,0.022,0.016,0.014,0.003,0.12,0.07,0.05,0.04,0.01
129,40.38636757,-111.4226418,SC01,Lower,2016-07-28,Summer,S,0.12,2.35,66.5,0.029,0.002,0.027,0.027,0.000,1.93,0.13,1.80,1.80,0.00
130,40.38997727,-111.4316945,SC03,Lower,2016-07-28,Summer,S,1.11,0.00,0.0,dry,dry,dry,dry,dry,0.00,0.00,0.00,0.00,0.00
131,40.39821756,-111.4380473,SC04,Lower,2016-07-28,Summer,S,2.37,0.10,2.8,0.112,0.092,0.020,0.020,0.001,0.32,0.26,0.06,0.06,0.00
132,40.40197848,-111.4505074,SC06,Lower,2016-07-28,Summer,S,4.13,0.91,25.8,0.033,0.018,0.015,0.012,0.003,0.85,0.46,0.39,0.31,0.08
133,40.40300907,-111.4591105,SC07,Lower,2016-07-28,Summer,S,5.17,0.26,7.4,0.054,0.035,0.020,0.020,0.000,0.40,0.25,0.14,0.14,0.00
